,id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_curso
7096,aeb853ba3fbf72a9ceca3f5157e3fcf3,M,19_04_1993,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NOVA_CIDADE,GRADUACAO,VESTIBULAR,2014,2.0,F,92127264.0
7122,63a082d54912829c3791dde3e907f3ff,M,26_01_1993,BRANCO,RIO_GRANDE_DO_NORTE,FRUTUOSO_GOMES,RIO_GRANDE_DO_NORTE,NATAL,NEOPOLIS,GRADUACAO,VESTIBULAR,2014,2.0,F,92127264.0
7134,ab6ebb084c9eb8a5889596424523e77d,M,22_09_1986,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PITIMBU,GRADUACAO,VESTIBULAR,2014,2.0,F,92127264.0
