,id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_curso
3656,c36bc44ddef6bb4ab307af06b08b1b7b,M,02_10_1991,NAO_INFORMADO,IGNORADO/EXTERIOR,NATAL,RIO_GRANDE_DO_SUL,NATAL,PITIMBU,GRADUACAO,SISU,2013,1.0,F,92127264.0
3667,b18ddc1632f6959ac002621bb97dd609,M,30_10_1995,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NEOPOLIS,GRADUACAO,SISU,2013,1.0,F,92127264.0
3682,5c4f020ec92ba1277f726c9f5ab16427,M,02_02_1993,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,FELIPE_CAMARAO,GRADUACAO,SISU,2013,1.0,F,92127264.0
3699,c9e9fb6d34701e4b7c7ce48b0444c7fe,M,02_06_1985,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,SAO_GONCALO_DO_AMARANTE,AMARANTE,GRADUACAO,SISU,2013,1.0,F,92127264.0
3714,d876a255f2540137212a1df25b8c47bf,M,22_04_1982,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,IGAPO,GRADUACAO,SISU,2013,1.0,F,92127264.0
3731,9fbc15c7d695f703ee99b972826da675,M,13_12_1993,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,ESPIRITO_SANTO,CENTRO,GRADUACAO,SISU,2013,1.0,F,92127264.0
3749,ec71353b9ce0b131c6dda8250840dc4d,M,08_02_1987,PARDO,PERNAMBUCO,CARUARU,RIO_GRANDE_DO_NORTE,NATAL,SAO_PEDRO,GRADUACAO,SISU,2013,1.0,F,92127264.0
3766,7c139dcc64de273719e442da230891cd,M,26_01_1994,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,IGAPO,GRADUACAO,SISU,2013,1.0,F,92127264.0
3783,5a2ad1c32b50e7491e45f33de52e8701,F,24_02_1994,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,BARRO_VERMELHO,GRADUACAO,SISU,2013,1.0,F,92127264.0
3794,9bde4a2100e77f9b68a58ff3a2b528b7,M,13_04_1994,BRANCO,RIO_GRANDE_DO_NORTE,NOVA_CRUZ,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_NOVA,GRADUACAO,SISU,2013,1.0,F,92127264.0
3811,4bc11904bc4637fce87f851c094c3f59,M,15_07_1991,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_SECA,GRADUACAO,SISU,2013,1.0,F,92127264.0
3826,4120da6763c98152ecabdc8a07f4903d,M,09_09_1991,BRANCO,IGNORADO/EXTERIOR,NATAL,RIO_GRANDE_DO_NORTE,GOIANINHA,CENTRO,GRADUACAO,SISU,2013,1.0,F,92127264.0
3843,2aec5a217d42a4f8e44c42896860528c,F,19_10_1987,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_AZUL,GRADUACAO,SISU,2013,1.0,F,92127264.0
3860,7fe36da552ef5fb6f81bb748fcc04261,M,24_10_1978,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PLANALTO,GRADUACAO,SISU,2013,1.0,T,92127264.0
3875,982ba011ee85c14523ed0256e46431f4,M,04_09_1987,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,SISU,2013,1.0,F,92127264.0
3888,ead9a5b76da80329f97347db695b8626,F,16_03_1990,PARDO,RIO_GRANDE_DO_NORTE,MACAU,RIO_GRANDE_DO_NORTE,NATAL,CAPIM_MACIO,GRADUACAO,SISU,2013,1.0,F,92127264.0
3903,b24f5cef19762443fe5ab67f943f1f8a,F,08_12_1978,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,TIROL,GRADUACAO,SISU,2013,1.0,F,92127264.0
3914,20399f21295647858834ee92e87d37bb,M,24_03_1987,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NEOPOLIS,GRADUACAO,SISU,2013,1.0,F,92127264.0
3929,59c21e0c7e559fefd832ac43768c29bb,M,03_06_1981,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,ALECRIM,GRADUACAO,SISU,2013,1.0,F,92127264.0
3946,2d9f45dd5692a6cbce6a162cea516af8,M,05_08_1975,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,SISU,2013,1.0,T,92127264.0
3963,b6449ad2c77b2557d66f555f0cdd63b8,M,19_07_1986,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,ALECRIM,GRADUACAO,SISU,2013,1.0,F,92127264.0
