,id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_turma,id_curso,unidade,nota,reposicao,faltas_unidade,media_final,numero_total_faltas,descricao
4392,4c51c54d432c6987ab62172fc677201e,M,26-09-1976,Branco,Rio Grande do Norte,PARNAMIRIM,Rio Grande do Norte,NATAL,SANTOS REIS,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,8.4,f,0.0,6.6,8.0,APROVADO POR NOTA
4417,d49ba2464bece6c1d9854724407ed1cc,M,25-05-1986,Pardo,Rio Grande do Norte,CAICÓ,Rio Grande do Norte,NATAL,CANDELÁRIA,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,,,,,,,EXCLUIDA
4435,a7aeb59e1b92828f2ec3bd5cb467ff1f,F,10-08-1995,Branco,Rio Grande do Norte,ACARI,Rio Grande do Norte,NATAL,Lagoa Nova,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,7.3,f,0.0,8.1,2.0,APROVADO
4452,c64950466f754a7a5656d1968f33c8fc,M,08-05-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,PAJUÇARA,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,5.1,f,0.0,7.0,0.0,APROVADO
4470,1b723ea570ff87651bed3b7039f4db06,F,29-04-1996,Pardo,Rio de Janeiro,CAMPOS DOS GOYTACAZES,Rio Grande do Norte,PARNAMIRIM,PARQUE DO JIQUI,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,7.7,f,0.0,8.5,4.0,APROVADO
4492,65ea9e0d687a5db2d0ee98d6b8c82e47,M,18-08-1994,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,REDINHA,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,1.0,0.0,f,0.0,0.0,32.0,REPROVADO POR MÉDIA E POR FALTAS
4510,d7de3de87f29fa2c46b43ff1de855274,M,29-04-1996,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,TIROL,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,5.2,f,0.0,2.7,10.0,CANCELADO
4532,f21bc6c64425074e1bacea1eea1f5721,M,01-04-1978,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,POTENGI,GRADUAÇÃO,SiSU,2014,1.0,t,1217921,92127264.0,1.0,4.3,f,0.0,4.6,14.0,REPROVADO POR MÉDIA E POR FALTAS
4550,5a5d94d46b85d1bec85b6a0b0a0b826b,M,20-09-1996,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,PLANALTO,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,6.0,f,0.0,7.4,2.0,APROVADO
4575,2b19bf05f8ce4bc5814bd05d1b4cab36,M,10-12-1996,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,NOVA PARNAMIRIM,GRADUAÇÃO,SiSU,2014,1.0,f,1217921,92127264.0,1.0,6.4,f,0.0,7.5,4.0,APROVADO
4591,4786ee006b177a4effef45521b7bd94f,M,23-05-1996,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,PONTA NEGRA,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,2.0,4.6,f,0.0,6.6,2.0,APROVADO POR NOTA
4613,d74b3e9757144bbf51198784155a6ade,M,23-06-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,NOSSA SENHORA DA APRESENTAÇÃO,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,8.9,f,0.0,8.7,0.0,APROVADO
4631,7f2fd9688308a85c2f1f88490cf3382d,M,17-08-1996,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,ROSA DOS VENTOS,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,1.0,6.6,f,0.0,6.8,0.0,APROVADO POR NOTA
4649,7d7818081df3453ff670193d07c96732,M,13-01-1996,Branco,Rio Grande do Norte,CAICÓ,Rio Grande do Norte,NATAL,PITIMBU,GRADUAÇÃO,SiSU,2014,1.0,f,1217921,92127264.0,1.0,6.7,f,0.0,7.4,6.0,APROVADO
4665,93c673ca49d2f77eb016bda1f2a4b844,M,07-11-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,NOVA PARNAMIRIM,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,7.4,f,0.0,8.1,6.0,APROVADO
4688,646be7569c06a75225b22838264f2f37,F,11-02-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,NOVA PARNAMIRIM,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,6.5,f,0.0,5.0,6.0,CANCELADO
4712,81b3bf9f2b3b99b358a853e77c69d338,M,30-07-1996,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,BARRO VERMELHO,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,7.3,f,0.0,8.0,2.0,APROVADO
4737,1769378784613a7f89344897979d8d68,M,26-09-1994,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,LAGOA NOVA,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,6.8,f,0.0,7.7,0.0,APROVADO
4753,dc71ff037f1e98823ef208155af16c47,M,26-04-1992,Pardo,São Paulo,OSASCO,São Paulo,CARAPICUÍBA,VILA SANTA LÚCIA,GRADUAÇÃO,SiSU,2014,1.0,t,1223534,92127264.0,1.0,6.9,f,0.0,6.7,0.0,APROVADO POR NOTA
4783,72dcd1fa143cad070004d10eee2545fd,M,07-08-1996,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,LAGOA NOVA,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,5.7,f,0.0,7.2,4.0,APROVADO
