,id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_curso
7246,86e61066091f45630907435245e40b9e,M,05_07_1992,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,EXTREMOZ,MOINHO,GRADUACAO,JUDICIAL,2017,1.0,F,92127264.0
7258,e87d82f659325bc452d62c6c84d060f4,F,10_07_1993,BRANCO,RIO_GRANDE_DO_NORTE,CURRAIS_NOVOS,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_NOVA,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2017,1.0,F,92127264.0
7276,de9d615d60689d6ea25c984ce8879c0b,M,22_02_1994,PARDO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,RIO_GRANDE_DO_NORTE,PARNAMIRIM,N._PARNAMIRIM,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2017,1.0,F,92127264.0
7289,01a7847331a518447aeaddb044fb7a9b,F,09_03_1987,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PITIMBU,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2017,1.0,F,92127264.0
7301,c930164f980ad2f44874f28ec634d460,F,06_04_1984,PARDO,PERNAMBUCO,OLINDA,RIO_GRANDE_DO_NORTE,NATAL,NAO_INFORMADO,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2017,1.0,F,92127264.0
7313,8102794fe244cb2c997b3a4bde2fbd15,M,14_10_1992,NEGRO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,GOIANINHA,CENTRO,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2017,1.0,F,92127264.0
7337,4de6e82d76b2b3292f9c62603efadb95,M,09_09_1990,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PAJUCARA,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2017,1.0,F,92127264.0
7357,edb089a92cb9e2ab957ba48765256bb8,M,11_02_1992,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CAPIM_MACIO,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2017,1.0,F,92127264.0
7373,822e63601a153539fb63ca1a9098f31f,M,10_02_1978,INDIGENO,PARAIBA,CAMPINA_GRANDE,RIO_GRANDE_DO_NORTE,NATAL,CANDELARIA,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2017,1.0,F,92127264.0
7388,d1ba9caf01203f8bcb540b51f6fbe35a,M,15_02_1996,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,SANTA_CRUZ,LIBERDADE,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2017,1.0,F,92127264.0
7406,d638dffa503c3470874f0e5d8a8c502b,M,09_01_1988,NAO_INFORMADO,PERNAMBUCO,GARANHUNS,RIO_GRANDE_DO_NORTE,NATAL,BARRO_VERMELHO,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2017,1.0,F,92127264.0
7420,57f5112a2202c371dad85ecd0454b1c0,M,06_09_1996,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2017,1.0,F,92127264.0
7435,f11eae0da5c6e0e281a462f98fbdf392,M,25_07_1995,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,EMAUS,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2017,1.0,F,92127264.0
7460,0930b51fc9f880328c34c4712cf1d36e,M,23_05_1989,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,CURRAIS_NOVOS,RIO_GRANDE_DO_NORTE,CURRAIS_NOVOS,CENTRO,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2017,1.0,F,92127264.0
