bairro,sexo
AREIA_BRANCA,1
CANDELARIA,1
CAPIM_MACIO,1
CENTRAL_PARQUE_III,1
CENTRO,3
CIDADE_DA_ESPERANCA,1
CIDADE_VERDE,1
COHABINAL,1
C_SATELITE,1
EMAUS,2
GOLANDIM,1
IGAPO,1
IPE,1
LAGOA_NOVA,1
NAO_INFORMADO,1
NEOPOLIS,1
NOVA_PARNAMIRIM,3
PAJUCARA,1
PLANALTO,1
PONTA_NEGRA,2
QUINTAS,1
SAO_JOSE,1
TIROL,2
