bairro,sexo
ALECRIM,1
BARRO_VERMELHO,1
CANDELARIA,1
CAPIM_MACIO,5
CENTRO,2
CIDADE_ALTA,1
EMAUS,2
IGAPO,1
LAGOA_AZUL,1
LAGOA_NOVA,1
NEOPOLIS,1
NOSSA_SENHORA_DA_APRESENTACAO,3
NOSSA_SENHORA_DE_NAZARE,3
NOVA_PARNAMIRIM,2
PASSAGEM_DE_AREIA,1
PETROPOLIS,1
PITIMBU,4
PONTA_NEGRA,3
POTENGI,4
QUINTAS,1
REDINHA,1
TIROL,1
