bairro,sexo
CENTRO,1
DIX_SEPT_ROSADO,1
EMAUS,1
LAGOA_NOVA,1
NAO_INFORMADO,11
NEOPOLIS,2
NORDESTE,1
NOVA_PARNAMIRIM,2
PAJUCARA,1
PARQUE_DA_NACOES,1
PITIMBU,1
PONTA_NEGRA,1
SAO_GERALDO,1
SAO_MIGUEL,1
ZONA_RURAL,1
