bairro,sexo
BOA_VIAGEM,1
CANDELARIA,1
CENTRO,2
DIX_SEPT_ROSADO,1
LAGOA_NOVA,1
LAGOA_SALGADA,1
NAO_INFORMADO,4
NOVA_ESPERANCA,1
PAJUCARA,1
PITIMBU,1
PONTA_NEGRA,1
POTENGI,1
REGO_MOLEIRO_III,1
