bairro,sexo
AREIA_PRETA,1
CANDELARIA,2
CAPIM_MACIO,3
CENTRO,2
COTOVELO_(DISTRITO_LITORAL),1
DIX_SEPT_ROSADO,1
EMAUS,1
JARDIM_BOM_SUCESSO,1
LAGOA_NOVA,3
LAGOA_SECA,1
NAO_INFORMADO,1
NEOPOLIS,4
NOSSA_SENHORA_DA_APRESENTACAO,1
NOVA_PARNAMIRIM,2
PARQUE_DAS_NACOES,1
PARQUE_DO_JIQUI,1
PITIMBU,1
POTENGI,3
QUINTAS,1
