"id_discente";"ano";"periodo";"renda";"escola_ens_medio";"possui_bolsa_pesquisa";"possui_auxilio_alimentacao";"possui_auxilio_transporte";"possui_auxilio_residencia_moradia"
"4ec2bc66a2571915f614346a96eb3117";"2016";"1";"2500";"Todo em escola particular ";"f";"f";"f";"f"
"67a800858259c8dec7a7451870c52026";"2016";"1";"788";"Todo em escola publica ";"f";"t";"f";"f"
"25d5eca724a3eca9a55b0a9ac7bfb373";"2016";"1";"788";"Todo em escola publica ";"f";"f";"f";"f"
"9b45a4d48890f615a25ee368042dfdb0";"2016";"1";"5000";"Todo em escola particular ";"f";"t";"f";"f"
"fc3046f6313fba5c94fc09fd59965cc8";"2016";"1";"2000";"Todo em escola publica ";"f";"f";"f";"f"
"0b301b81d4da9deda6b990858824d3c4";"2016";"1";"880";"Todo em escola publica ";"f";"t";"f";"t"
"4af3ac531ef67d05d30aa90c0d70cbf1";"2016";"1";"900";"Todo em escola publica ";"f";"t";"f";"t"
"ca27e87135ec001007518abe57e47033";"2016";"1";"3804";"Todo em escola publica ";"f";"t";"f";"t"
"69eff86e68d28f24936a11c59f46bb13";"2016";"1";"2172";"Todo em escola publica ";"f";"f";"f";"f"
"ebd77a5da3d99eca9455f15c29199cb8";"2016";"1";"1448";"Todo em escola publica ";"f";"t";"f";"f"
"91a04277bfafbf451ef38f062e141cf7";"2016";"1";"900";"Todo em escola publica ";"f";"t";"f";"f"
"a1b85c7381bba78e6a6ed036852568ee";"2016";"1";"880";"Todo em escola publica ";"f";"t";"f";"f"
"5be5ee2ade0c058475de90c53a96dd69";"2016";"1";"2200";"Todo em escola publica ";"f";"t";"f";"t"
"f792b080a4d4afdabe419e6d1788a07a";"2016";"1";"1300";"Todo em escola particular ";"f";"t";"f";"f"
"7862e25689e9f07f8fe8158c95dd14b2";"2016";"1";"3000";"Todo em escola publica ";"f";"t";"f";"f"
"ecd0651707343463c55f9b49551bbdf1";"2016";"1";"2500";"Todo em escola publica ";"f";"f";"f";"f"
"cd14db74c8ec46b406c2e64c143c14c1";"2016";"1";"2800";"Todo em escola publica ";"f";"f";"f";"f"
"7c170b8e5705d258b006bff976ca6424";"2016";"1";"2300";"Todo em escola publica ";"f";"f";"f";"f"
"5dae704e4992e264ca700f65c232fc99";"2016";"1";"2640";"Todo em escola publica ";"f";"t";"f";"t"
"735bbfb6f7ab46b58f900d62a6e3cf26";"2016";"1";"3000";"Todo em escola particular ";"f";"f";"f";"f"
"e0230ddc6ec3993c949159bbdb507f78";"2016";"1";"1000";"Em escola Particular, com bolsa ";"f";"f";"f";"f"
"d13da685fad3048b11a9f2cfbef74b4b";"2016";"1";"3000";"Todo em escola particular ";"f";"t";"f";"f"
"4635336b250c38d968fb9ab5952810bd";"2016";"1";"600";"Todo em escola publica ";"f";"f";"f";"f"
"686529c7f8e7335b48f0f9c487d9e7c8";"2016";"1";"2500";"Em escola Particular, com bolsa ";"f";"f";"f";"f"
"b54278396ceb0d549f9e656f46b2c4e7";"2016";"1";"2902";"Todo em escola publica ";"f";"t";"f";"t"
"93d00b784fefd39ca4402fe567b4cbd4";"2016";"1";"836";"Todo em escola publica ";"f";"f";"t";"f"
"43d1599597afbfed9686ba29bbe77507";"2016";"1";"2400";"Todo em escola particular ";"f";"f";"f";"f"
"46576597bd004c525a920bd61d9d56d5";"2016";"1";"950";"Todo em escola publica ";"f";"f";"f";"f"
"2fec4f04ad63d087173eb4df7374c198";"2016";"1";"3000";"Todo em escola publica ";"f";"t";"f";"t"
"52732043cbc8028e853746f06cd0fc5b";"2016";"1";"3000";"Parte em escola pública parte em escola particular ";"t";"f";"f";"f"
"dc9b8e217a9866d0f3f1e15467f61ae4";"2016";"1";"1700";"Todo em escola particular ";"t";"f";"f";"f"
"8f1e25c53680d4d2ecfd4d6be7f4f4f0";"2016";"1";"30000";"Todo em escola particular ";"f";"f";"f";"f"
"be78a8ada014939cedae754fbf02010a";"2016";"1";"3700";"Todo em escola particular ";"f";"f";"f";"f"
"c36b41930a731cd7a71f03a2622a1fb8";"2016";"1";"860";"Em escola Particular, com bolsa ";"f";"f";"f";"f"
"69ee5531adf6d13e635eb49f8be22ba0";"2016";"1";"1500";"Todo em escola publica ";"f";"t";"f";"f"
"60aff99173e23bc19c957b33893979eb";"2016";"1";"724";"Todo em escola publica ";"f";"t";"f";"t"
"c93177e245fe606fc88448a1fb650759";"2016";"1";"1800";"Todo em escola particular ";"f";"f";"f";"f"
"cb359bfd9917cececf83d3d983b80abb";"2016";"1";"970";"Em escola Particular, com bolsa ";"f";"f";"f";"f"
"28f0cf6ad6444435cfb6354a28a5bbf7";"2016";"1";"1800";"Todo em escola particular ";"f";"f";"f";"f"
"7a38f8e6399800fdec229ee40ae9c023";"2016";"1";"4280";"Todo em escola publica ";"f";"f";"f";"f"
"8d2a3b00a41279debf258bc6c6305205";"2016";"1";"2100";"Em escola Particular, com bolsa ";"f";"t";"f";"f"
"9e01b07dcae9e7b5d0c0911541dc09df";"2016";"1";"4091";"Em escola Particular, com bolsa ";"f";"f";"f";"f"
"7045b5df0181a3bf63c7cb697c4b111d";"2016";"1";"788";"Todo em escola publica ";"f";"t";"f";"t"
"b5d7ecb715039124050b21289888e4b6";"2016";"1";"2000";"Todo em escola publica ";"f";"f";"f";"f"
"aa3b36d4af9c84b99bb3a5ff206fa372";"2016";"1";"2000";"Parte em escola pública parte em escola particular ";"f";"f";"f";"f"
"f31873512cfaa6de3ad0618bbfb28c46";"2016";"1";"3200";"Todo em escola particular ";"f";"f";"f";"f"
"1ba2a20b5d91d6ce2180eace4a95ce55";"2016";"1";"746";"Todo em escola publica ";"f";"f";"f";"f"
"46665a614e41672cc0e7ab15d2acacf1";"2016";"1";"1900";"Todo em escola publica ";"f";"t";"f";"t"
"53f19d2e3a0707199841830fb184689c";"2016";"1";"2896";"Todo em escola particular ";"f";"f";"f";"f"
"5e862d671823814cab62b5cfe28d56a3";"2016";"1";"880";"Todo em escola publica ";"f";"f";"t";"f"
"0fe193b9c8eb8148774d037d253a5b81";"2016";"1";"1760";"Todo em escola particular ";"f";"t";"f";"f"
"30b5dc46a33cca729c3fe53a52cb1009";"2016";"1";"9000";"Todo em escola particular ";"f";"f";"f";"f"
"18e2b51a68e0ed5e581e0a4fcc4d8293";"2016";"1";"1500";"Todo em escola publica ";"f";"f";"t";"f"
"4cd9bd3e9b3dc00e4858dde1deafecf5";"2016";"1";"5000";"Todo em escola particular ";"f";"f";"f";"f"
"3bf373c5af21f3373ea0dd27f1f24479";"2016";"1";"5000";"Todo em escola particular ";"t";"t";"f";"f"
"c7adee6d10801731865224cec4a251ba";"2016";"1";"800";"Todo em escola publica ";"f";"t";"f";"f"
"19a2475bdb916f2a22379c23d64edc2d";"2016";"1";"2172";"Parte em escola pública parte em escola particular ";"f";"f";"f";"f"
"547baa84cbeebd24f2b71b55255e1137";"2016";"1";"1000";"Todo em escola publica ";"f";"t";"f";"t"
"e0d9dbce1e0bfd910cdddb5db0efbb58";"2016";"1";"2800";"Todo em escola publica ";"f";"f";"f";"f"
"06e0daa423597c417d08c31503548b48";"2016";"1";"1930";"Todo em escola publica ";"t";"t";"f";"t"
"d060cea74ad26d261a932fafddc735a9";"2016";"1";"740";"Em escola Particular, com bolsa ";"f";"t";"f";"t"
"7cd4a1540a1d62b64a61e472084baf4f";"2016";"1";"860";"Todo em escola publica ";"f";"t";"f";"t"
"758054f15f740f952634f397c433f2e8";"2016";"1";"1000";"Todo em escola publica ";"f";"f";"f";"f"
"d7b29dbcac14f131c4da9998a443e2a7";"2016";"1";"1758";"Todo em escola particular ";"f";"f";"f";"f"
"bcb8312fe9e00e81ba08b73f45ebf4a4";"2016";"1";"5000";"Todo em escola particular ";"f";"f";"f";"f"
"9f11ffaa34015c99b79cedde48cc9263";"2016";"1";"1770";"Todo em escola publica ";"f";"t";"f";"f"
"4cf90f2198cbfe20f7fba9e76e3972ee";"2016";"1";"108600";"Todo em escola particular ";"f";"t";"f";"t"
"046d7d8ebeb16ee284e269f7833f1a41";"2016";"1";"1200";"Em escola Particular, com bolsa ";"f";"f";"f";"f"
"ad50c2e0a278079c6cc587aa2f5b6404";"2016";"1";"4000";"Todo em escola publica ";"f";"t";"f";"f"
