"discente","sexo","nota_final","cotista","cep","descricao"
"fada266e234c3e2cb569101f8bbcc74f","F",6.6700,f,"59000-000","GRADUAÇÃO"
"a53f5871bc4e35b3bae84dda6bcd35cb","M",4.2700,f,"59000-000","GRADUAÇÃO"
"3e966543d909dd548a16bcc31310d708","F",663.7900,f,"59000-000","GRADUAÇÃO"
"7e217f3ccc525efa1e7080faae657902","M",622.7100,t,"59000-000","GRADUAÇÃO"
"7e0ab9b2ec3d2eb0582427eaae55e386","M",678.8800,f,"59000-000","GRADUAÇÃO"
"","F",3.4300,f,"59000-000","GRADUAÇÃO"
"44b0702b189fba270af52bc81c6f6adb","F",669.2200,f,"59000-000","GRADUAÇÃO"
"9a71eb7cf3acdcc70c16278d8ff94c72","F",5.3300,f,"59000-000","GRADUAÇÃO"
"d061e58431229c506417d0d7bae75a50","M",786.2800,t,"59000-000","GRADUAÇÃO"
"5ce7c08b91c47ff295338676eac08dad","F",621.0400,f,"59000-000","GRADUAÇÃO"
"4915f70b83c40d78ed9d0a76b68d491c","M",683.3900,f,"59000-000","GRADUAÇÃO"
"ee3de9525ed23f3aa43ad21d74896f96","M",636.9300,t,"59000-000","GRADUAÇÃO"
"ee3de9525ed23f3aa43ad21d74896f96","M",636.9300,t,"59000-000","GRADUAÇÃO"
"","M",628.9200,t,"59000-000","GRADUAÇÃO"
"897a4f9c9fa4d11bd70cb8157e09068b","M",504.3000,f,"59000-000","GRADUAÇÃO"
"0a0524db104421075d283853591515aa","F",503.8900,t,"59000-000","GRADUAÇÃO"
"eabd9e1d2c800501de32de87d570a7dd","F",628.7800,t,"59000-000","GRADUAÇÃO"
"7a1c8af893aae91a3d01e907d98533ff","M",511.8000,t,"59000-000","GRADUAÇÃO"
"1be51e8716f60a3d39359393477ab223","M",551.3000,f,"59000-000","GRADUAÇÃO"
"830c0d637d2813e1cec6106e100ede36","M",610.7400,f,"59000-000","GRADUAÇÃO"
"961527b74f24187294f177a5d0725dea","M",565.3800,t,"59000-000","GRADUAÇÃO"
"961527b74f24187294f177a5d0725dea","M",565.3800,t,"59000-000","GRADUAÇÃO"
"4d1d15ae203c4a98c1add7f94ad38bf1","M",548.7100,f,"59000-000","GRADUAÇÃO"
"d9471790f8cb9318ed41102953038c38","F",755.9900,t,"59000-000","GRADUAÇÃO"
"b121d08ebbc4d28616902bd87e503ca2","F",629.6200,f,"59000-000","GRADUAÇÃO"
"ce27dbfa6875873bdcffb81541841d53","F",615.8400,t,"59000-000","GRADUAÇÃO"
"","M",643.9400,f,"59000-000","GRADUAÇÃO"
"c6007596d1f3136e433fb423b636b06f","M",643.9400,f,"59000-000","GRADUAÇÃO"
"4ea3cb14a4b264819090da9fffe04d70","F",650.3100,f,"59000-000","GRADUAÇÃO"
"533b739ff0554ef1fb85386a2925c174","M",656.6600,t,"59000-000","GRADUAÇÃO"
"9089ae5a43c91378180804e58541383c","F",637.7400,f,"59000-000","GRADUAÇÃO"
"b515a32b66eac27f04c7d28302da87c9","F",613.6800,t,"59000-000","GRADUAÇÃO"
"3162aba5981731918c5d06e50e9c859a","F",553.6600,f,"59000-000","GRADUAÇÃO"
"4076e4981c9cccf77c28538a405ffc34","M",598.6200,t,"59000-000","GRADUAÇÃO"
"4076e4981c9cccf77c28538a405ffc34","M",598.6200,t,"59000-000","GRADUAÇÃO"
"2ae75d2b8c4108d72454fc0945330785","M",586.4800,t,"59000-000","GRADUAÇÃO"
