"id_discente";"ano";"periodo";"renda";"escola_ens_medio";"possui_bolsa_pesquisa";"possui_auxilio_alimentacao";"possui_auxilio_transporte";"possui_auxilio_residencia_moradia"
"b78e764ba8e88e9a54cbab8bdbdf5f54";"2016";"2";"880";"Todo em escola particular ";"f";"t";"f";"t"
"ae98b8525174c3e13fd98a55cfc37ce9";"2016";"2";"1600";"Todo em escola publica ";"f";"t";"f";"f"
"5916f40e20235563aceba49e691384fe";"2016";"2";"5200";"Todo em escola particular ";"f";"f";"f";"f"
"f47ace7fbb22012f488f24b9a2593db9";"2016";"2";"2184";"Todo em escola particular ";"f";"f";"f";"f"
"6ba430eecc701a3f2c5f9ca8bbba7c95";"2016";"2";"1500";"Todo em escola publica ";"f";"t";"f";"f"
"e82f51d1b136de5ea77a1691357fcf9a";"2016";"2";"1200";"Todo em escola particular ";"f";"t";"f";"f"
"5535b387348262f7c06e2b5d30ab46c6";"2016";"2";"1800";"Todo em escola publica ";"f";"t";"f";"f"
"2904c5c61f2c13f80d0f74270106b9e4";"2016";"2";"2000";"Todo em escola publica ";"f";"f";"f";"f"
"1ea94b8b6b3bd79e5c13cb24d5b5598c";"2016";"2";"900";"Todo em escola publica ";"f";"f";"f";"f"
"b22af7c62e5cee530cfd5fa9e6867503";"2016";"2";"3950";"Todo em escola particular ";"f";"t";"f";"f"
"95ef73d7315b355f34d51a7852c9c8b3";"2016";"2";"700";"Todo em escola publica ";"f";"f";"f";"f"
"03af95b09dc1adcc9b8540e860b8f3fd";"2016";"2";"3500";"Todo em escola publica ";"f";"f";"t";"f"
"1f624a34b17205e8acb4c5a6ff8d000a";"2016";"2";"2439";"Todo em escola particular ";"f";"t";"f";"t"
"332004d9f246af4b11d429888ecc640b";"2016";"2";"1448";"Todo em escola publica ";"f";"f";"f";"f"
"6648adf670c078a5143dfe5ac40597cc";"2016";"2";"1000";"Todo em escola particular ";"f";"t";"f";"t"
"ecb39bbcffc4406d50826c8b0f381db8";"2016";"2";"2500";"Todo em escola particular ";"f";"f";"f";"f"
"a550c232105999ed6d088350dbe0e7d5";"2016";"2";"920";"Todo em escola particular ";"f";"f";"f";"f"
"ae471cfce0415dfe4f8d19f03e262e6f";"2016";"2";"5000";"Todo em escola particular ";"t";"f";"f";"f"
"515f232c90b19e1014be58aeb8b56266";"2016";"2";"1400";"Todo em escola particular ";"f";"f";"f";"f"
"53fcc7bce4edd22359b760788e60aa2e";"2016";"2";"800";"Todo em escola publica ";"f";"t";"f";"f"
"a0f6a806e40087355be1188c28b88da1";"2016";"2";"4000";"Todo em escola publica ";"f";"f";"f";"f"
"d7d0e19a0c5621feb7da7a1fa2c451f4";"2016";"2";"1400";"Todo em escola publica ";"t";"t";"f";"f"
"61a808c43434cf1ddee7db3ea92566f3";"2016";"2";"209";"Todo em escola publica ";"f";"f";"t";"f"
"c5ff30c2f1e77983532c72768cb1f71c";"2016";"2";"250000";"Todo em escola particular ";"f";"f";"f";"f"
"08094c444ef7ce970f53149cf20d166e";"2016";"2";"500";"Todo em escola publica ";"f";"f";"f";"f"
"cfa9afb48a0541a44182e31dfda9d8cb";"2016";"2";"1877";"Todo em escola particular ";"f";"f";"f";"f"
"535741c3c60f93e640fb5763c568d330";"2016";"2";"750";"Todo em escola publica ";"f";"t";"f";"t"
"36e24ae86cb6537b14e451f4d0b6605e";"2016";"2";"600";"Todo em escola publica ";"f";"t";"f";"t"
"2acd2f81e334c3b8cc501301674731f0";"2016";"2";"0";"Todo em escola publica ";"f";"t";"f";"t"
"cc2d467b5ab455fcef71fdfd4430384f";"2016";"2";"830";"Todo em escola publica ";"f";"f";"t";"f"
"5cc518278f79837fcc67b84ff5723eca";"2016";"2";"3000";"Todo em escola particular ";"t";"f";"f";"f"
"79d42e1d1a935d4454c008f13a64513e";"2016";"2";"4500";"Todo em escola publica ";"f";"f";"f";"f"
"5f7b3194aa23762dfe1b37a1e547e5d5";"2016";"2";"3090";"Todo em escola publica ";"t";"t";"f";"f"
"dc9e65e5f3ad7e72fd713e0e82cb22b5";"2016";"2";"600";"Todo em escola publica ";"f";"t";"f";"f"
"e728954011bce7b0893c563a7ce88c90";"2016";"2";"1580";"Todo em escola publica ";"f";"t";"f";"t"
"2fc190ca7539fdeb084a29304be46808";"2016";"2";"724";"Todo em escola publica ";"t";"f";"f";"f"
"68401c72c4ff2196b9294e47b9447e0e";"2016";"2";"6500";"Todo em escola particular ";"f";"f";"f";"f"
"53ef3b82cb2810d3e4ada46186596b08";"2016";"2";"880";"Todo em escola publica ";"f";"t";"f";"f"
"3264283ccfbcc9b2bbe84dcb54da8bd1";"2016";"2";"3000";"Todo em escola publica ";"f";"f";"f";"f"
"831a29a9d9de6510768ee11ea8aad500";"2016";"2";"2915";"Todo em escola particular ";"f";"f";"f";"f"
"168ed3665ac09153f9b38590222c7e45";"2016";"2";"12000";"Todo em escola particular ";"t";"f";"f";"f"
"70f534c1c68c2b1fab9021ecd607c60e";"2016";"2";"500";"Todo em escola publica ";"f";"t";"f";"t"
"b4c2dd6ee904f3bb15fcb40e943567cf";"2016";"2";"2500";"Todo em escola publica ";"f";"t";"f";"f"
"6591c76aa52a7a3a62bda4012a643f3a";"2016";"2";"880";"Todo em escola publica ";"f";"f";"f";"f"
"15f5ae50681caea95e490b1d23561f66";"2016";"2";"7000";"Todo em escola particular ";"f";"f";"f";"f"
"2bad48b4f8172919e4db6b8b54d533aa";"2016";"2";"1500";"Todo em escola publica ";"f";"t";"f";"t"
"756c29e4b2ab8171d56025118662f3cb";"2016";"2";"900";"Todo em escola publica ";"f";"f";"t";"f"
"bccbada96e9eb4f7f4cbdf668b5c78b9";"2016";"2";"2000";"Em escola Particular, com bolsa ";"t";"f";"f";"f"
"bfd98a1e0ea1dfee12d3297bfb2133a3";"2016";"2";"450";"Todo em escola publica ";"f";"t";"f";"t"
"dbd1d3775cdc06e88ec45e299a3c8581";"2016";"2";"1760";"Todo em escola particular ";"f";"t";"f";"f"
"215a8db95a632c1068ac9cb82bee35ec";"2016";"2";"788";"Todo em escola publica ";"f";"t";"f";"f"
"5792d097b4fb24ef1108efd244436359";"2016";"2";"5000";"Todo em escola publica ";"f";"f";"f";"f"
"ac7346beb1ae3cabdb11ad4b8dd0f56b";"2016";"2";"6000";"Todo em escola particular ";"t";"f";"f";"f"
"41c4ec7dc9b63e3150d68fa23220d26b";"2016";"2";"1300";"Parte em escola pública parte em escola particular ";"f";"t";"f";"t"
"32356a8f5f085d77a7cb89fc7d92ce85";"2016";"2";"80000";"Todo em escola publica ";"f";"f";"f";"f"
"4c7d393bf1b802979d8916ff348c0004";"2016";"2";"3000";"Todo em escola publica ";"f";"f";"f";"f"
"e886b42900f337c62720fd6aee8eea0a";"2016";"2";"2800";"Todo em escola particular ";"f";"t";"f";"f"
"d580d12834f592d20163ca932fc19e80";"2016";"2";"1720";"Todo em escola publica ";"f";"f";"f";"f"
"ee88dce84f8fbb528cc1927a5949275d";"2016";"2";"2134";"Todo em escola particular ";"f";"t";"f";"t"
"2e324e7412805d260c747267ee052e6f";"2016";"2";"3900";"Todo em escola particular ";"f";"f";"f";"f"
"6069144e878c5408e20665b2ff0c07be";"2016";"2";"3000";"Em escola Particular, com bolsa ";"f";"t";"f";"t"
"73e56879183fd457aa5a798e83b34e25";"2016";"2";"700";"Todo em escola publica ";"f";"t";"f";"f"
"be49462d6f224ce047fb301f69871058";"2016";"2";"1233";"Todo em escola publica ";"f";"t";"f";"f"
"fff689fc4f4f6439864bc0e38f50324e";"2016";"2";"788";"Todo em escola publica ";"f";"t";"f";"f"
"23208b48a98735707faef0c19e6ca8aa";"2016";"2";"600";"Todo em escola publica ";"t";"f";"t";"f"
"52407ed4c5f0f43959e739f099f01eb5";"2016";"2";"4000";"Todo em escola particular ";"f";"f";"f";"f"
"b47cc5eb6da9ae7d4deb2a627980ac65";"2016";"2";"800";"Todo em escola publica ";"t";"t";"f";"t"
"2f76d66f83e9fd5e624ce2de001d7c52";"2016";"2";"1005";"Todo em escola publica ";"f";"t";"f";"f"
"fb39b54ca9245a063db15946df6429de";"2016";"2";"5000";"Todo em escola publica ";"f";"f";"f";"f"
"7b996bf573ed8067779e7c88eea03e59";"2016";"2";"7000";"Todo em escola particular ";"f";"f";"f";"f"
"686fd2a0ae940f936835e6cd9b4caca4";"2016";"2";"3500";"Todo em escola particular ";"t";"f";"f";"f"
"8f2c13ba25bd16d7e544c89d01fc1de1";"2016";"2";"1300";"Todo em escola publica ";"f";"t";"f";"f"
"1b06e789239c7efc58b9a1707cc477dc";"2016";"2";"2200";"Todo em escola particular ";"f";"f";"f";"f"
"932983c15470755de26dd9f25e4a4d69";"2016";"2";"7000";"Parte em escola pública parte em escola particular ";"f";"f";"f";"f"
"b4049e138b7b2f0e99123f8dce314cc8";"2016";"2";"1400";"Todo em escola publica ";"f";"t";"f";"t"
"5e4cee211c50bf9bbc13b06a8b32fb69";"2016";"2";"3300";"Todo em escola publica ";"f";"f";"f";"f"
"f8543c13131a8117f2035694e6625bb6";"2016";"2";"8697";"Todo em escola publica ";"f";"t";"f";"f"
"8f48e93b48b820fa00be569301ab933b";"2016";"2";"1400";"Todo em escola particular ";"f";"f";"t";"f"
"a4a40dc7f3f05a88af7271aad76fc918";"2016";"2";"2000";"Todo em escola publica ";"f";"f";"f";"f"
"aa539b3f309c7ddc5ea7ecb264a01510";"2016";"2";"950";"Todo em escola publica ";"f";"f";"f";"f"
"ee25ddee8d8006a406354d796c01fffc";"2016";"2";"800";"Em escola Particular, com bolsa ";"f";"f";"f";"f"
"58298b9ce963d330a6a9e07964df5142";"2016";"2";"840";"Todo em escola publica ";"f";"f";"t";"f"
"ed8b83b93780ce342345a16805adf8b9";"2016";"2";"6800";"Todo em escola publica ";"f";"t";"f";"f"
"2ad43ef407627b781179db134b158f82";"2016";"2";"1448";"Todo em escola publica ";"f";"t";"f";"f"
"3780a39068237e1a7a478822e6ed5fe3";"2016";"2";"3000";"Todo em escola particular ";"f";"t";"f";"f"
"2dfc09b4af5d3dc3e1251b87674fac16";"2016";"2";"600";"Todo em escola publica ";"f";"t";"f";"f"
"7320ab78da57cc1a790692d3ed577ef1";"2016";"2";"2000";"Em escola Particular, com bolsa ";"f";"f";"f";"f"
"46d25103c1aec806f620e203841ad986";"2016";"2";"5287";"Em escola Particular, com bolsa ";"f";"t";"f";"t"
"a4ae9997864e8186f24ed1f8e5429fe6";"2016";"2";"2640";"Parte em escola pública parte em escola particular ";"f";"f";"f";"f"
"1d783d079b3cd6f56d666bb09b240536";"2016";"2";"8000";"Todo em escola particular ";"f";"f";"f";"f"
"154c2415419b8cf23e1e3f4c8c36b35f";"2016";"2";"176000";"Todo em escola publica ";"f";"t";"f";"t"
"1d12fb41efebb8ba93aad660ff92ccd4";"2016";"2";"2500";"Todo em escola publica ";"f";"f";"f";"f"
"0b633f40ec80d4bdca1e6138adceffb7";"2016";"2";"1500";"Todo em escola publica ";"f";"f";"f";"f"
"27a25add791efa35a720b5c7e47bbfa5";"2016";"2";"4500";"Em escola Particular, com bolsa ";"f";"f";"f";"f"
"04dc52cd260a1bd23c7022da2933f378";"2016";"2";"1448";"Todo em escola publica ";"f";"t";"f";"t"
"eb914f6e68cdc222b5535ee165f7b941";"2016";"2";"1554";"Todo em escola publica ";"f";"t";"f";"t"
"1875331d02f3ea825aa2c45bd2291362";"2016";"2";"880";"Todo em escola particular ";"t";"f";"f";"f"
"9d55e0b2c060fe3f7a490a68d4edeb41";"2016";"2";"2493";"Todo em escola publica ";"f";"t";"f";"f"
"b1c238f363348cccf2eb37513e762747";"2016";"2";"4400";"Todo em escola publica ";"f";"t";"f";"f"
"35d2035aa4429dd50504808055c059a6";"2016";"2";"3200";"Todo em escola publica ";"f";"f";"f";"f"
"105c6b5271133221115de712c00283b3";"2016";"2";"250";"Parte em escola pública parte em escola particular ";"f";"t";"f";"t"
