id,id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_turma,id_curso,unidade,nota,reposicao,media_final,numero_total_de_faltas,descricao,ano,periodo,renda,escola_ens_medio,possui_bolsa_pesquisa,possui_auxilio_alimentacao,possui_auxilio_transporte,possui_auxilio_residencia_moradia
4,dc0b37a9d90ff2d54cb650d366bb9d1e,F,07_09_1991,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NOSSA_SENHORA_DA_APRESENTACAO,GRADUACAO,VESTIBULAR,2013,1,F,57579942,92127264,1,1,1,6.8,4,APROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F
22,9e23bf7be54e62a27cd40e83a4b8e854,F,14_11_1995,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NEOPOLIS,GRADUACAO,VESTIBULAR,2013,1,F,57575309,92127264,1,1,1,8.7,2,APROVADO,2016,2016,NULL,TODO_EM_ESCOLA_PARTICULAR_,F,F,T,F
27,511d0df6f55de7f9c4818636b1535e02,F,16_05_1995,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,EMAUS,GRADUACAO,SISU,2013,1,F,57574273,92127264,0,0,0,0,0,DESISTENCIA,2016,2016,NULL,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F
29,515f232c90b19e1014be58aeb8b56266,F,18_04_1996,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,QUINTAS,GRADUACAO,SISU,2013,1,F,57579350,92127264,0,0,0,0,0,DESISTENCIA,2016,2016,NULL,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F
31,94f27183387ba163815ccb077b676073,F,25_03_1989,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,REDINHA,GRADUACAO,SISU,2013,1,F,57576767,92127264,1,1,1,1.4,36,REPROVADO_POR_MEDIA_E_POR_FALTAS,2016,2016,NULL,EM_ESCOLA_PARTICULAR_COM_BOLSA_,F,T,F,F
38,63e97bc77196994b439cb853cea9d42d,F,10_07_1994,BRANCO,RIO_GRANDE_DO_NORTE,PAU_DOS_FERROS,RIO_GRANDE_DO_NORTE,DOUTOR_SEVERIANO,CENTRO,GRADUACAO,SISU,2013,1,F,57575259,92127264,1,1,1,5,14,APROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F
39,f23e5fa8c16da3a0b77a4ed738182750,F,05_12_1994,BRANCO,PERNAMBUCO,RECIFE,RIO_GRANDE_DO_NORTE,NATAL,NOSSA_SENHORA_DA_APRESENTACAO,GRADUACAO,SISU,2013,1,F,57579942,92127264,0,0,0,0,0,DESISTENCIA,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,T,F,F
40,768519e21c9db3641c7c0d26e55d5574,F,25_12_1979,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PITIMBU,GRADUACAO,SISU,2013,1,F,57573944,92127264,1,1,1,7.7,4,APROVADO,2016,2016,NULL,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F
50,50676f5bca0d76c5dd30fae43b86ba37,F,22_04_1992,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,SISU,2014,1,F,57576572,92127264,2,2,2,1.4,146,REPROVADO_POR_MEDIA_E_POR_FALTAS,2016,2016,NULL,PARTE_EM_ESCOLA_PUBLICA_PARTE_EM_ESCOLA_PARTICULAR_,F,F,F,F
55,a7aeb59e1b92828f2ec3bd5cb467ff1f,F,10_08_1995,BRANCO,RIO_GRANDE_DO_NORTE,ACARI,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_NOVA,GRADUACAO,SISU,2014,1,F,57575238,92127264,1,1,1,5.9,10,APROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F
80,f250d74dc7561f1f4f5e39242df98be1,F,13_07_1996,BRANCO,SAO_PAULO,SAO_BERNARDO_DO_CAMPO,RIO_GRANDE_DO_NORTE,SAO_JOSE_DE_MIPIBU,CENTRO,GRADUACAO,SISU,2014,1,F,57576753,92127264,1,1,1,5.4,6,APROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F
88,fd6dc7aa91317652835ab7557a5e09ea,F,03_06_1996,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,FELIPE_CAMARAO,GRADUACAO,SISU,2015,1,F,57576753,92127264,1,1,1,7,16,APROVADO,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,T,F,F
93,1235a9301fcee8edf5d74e0f0f2df292,F,22_02_1998,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,AGUA_NOVA,CENTRO,GRADUACAO,SISU,2015,1,F,57576762,92127264,1,1,1,6.5,6,APROVADO_POR_NOTA,2016,2016,NULL,EM_ESCOLA_PARTICULAR_COM_BOLSA_,F,T,F,T
97,761f231943a37ff29272bc3b4020fe0d,F,21_06_1994,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_NOVA,GRADUACAO,SISU,2015,1,T,57579942,92127264,2,2,2,0.8,12,REPROVADO_POR_MEDIA_E_POR_FALTAS,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F
101,38ceb42ec7122ddfb2dcf670bf47be08,F,05_03_1996,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_SECA,GRADUACAO,SISU,2015,1,T,57576753,92127264,0,0,0,0,0,DESISTENCIA,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F
114,3f262f8a7b11adc284750418506c7f94,F,11_06_1996,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NEOPOLIS,GRADUACAO,SISU,2015,1,F,57576529,92127264,1,1,1,1.5,34,REPROVADO_POR_MEDIA_E_POR_FALTAS,2016,2016,NULL,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F
121,3a93cf9223126865d5c1f2a987452e56,F,22_08_1993,BRANCO,RIO_GRANDE_DO_NORTE,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,FLORANIA,CENTRO,GRADUACAO,SISU,2015,1,T,57576738,92127264,0,0,0,0,0,TRANCADO,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F
122,30eb9f908ea148ac43488d446fe4a837,F,16_09_1991,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NOSSA_SENHORA_DA_APRESENTACAO,GRADUACAO,SISU,2015,1,T,57576745,92127264,1,1,1,10,8,APROVADO,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,T,F,F
135,54d1c4d0930e630b849e36fbbb2d2390,F,14_09_1997,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PONTA_NEGRA,GRADUACAO,SISU,2015,2,F,57576590,92127264,1,1,1,1.6,54,REPROVADO_POR_MEDIA_E_POR_FALTAS,2016,2016,NULL,PARTE_EM_ESCOLA_PUBLICA_PARTE_EM_ESCOLA_PARTICULAR_,F,F,F,F
136,46c6360b365290a1404a5c8ffd59f9e1,F,10_01_1991,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,SISU,2015,2,F,57576529,92127264,2,2,2,7.5,5,APROVADO,2016,2016,NULL,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F
139,52df7a26e3059a52241366146b904b01,F,08_08_1993,BRANCO,RIO_GRANDE_DO_NORTE,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NISIA_FLORESTA,CENTRO,GRADUACAO,SISU,2015,2,F,57576729,92127264,2,2,2,6.4,6,APROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F
141,057fdfe31ce7ff67e6de782fd459a5e7,F,11_08_1996,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,MONTE_ALEGRE,CENTRO,GRADUACAO,SISU,2015,2,F,57576529,92127264,1,1,1,6,8,APROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F
145,03f682cb34ca1cd1bc10df04d8d2978f,F,14_02_1996,NEGRO,CEARA,FORTALEZA,PERNAMBUCO,RECIFE,BOA_VIAGEM,GRADUACAO,SISU,2015,2,T,57576590,92127264,3,3,3,1.7,58,REPROVADO_POR_MEDIA_E_POR_FALTAS,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F
147,7ae8cbf93b9997bb46729aa23898bb4b,F,12_03_1997,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,SANTO_ANTONIO,RIO_GRANDE_DO_NORTE,LAGOA_SALGADA,LAGOA_SALGADA,GRADUACAO,SISU,2015,2,T,57576589,92127264,1,1,1,0,28,REPROVADO,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,T,F,F
157,e1b01dddfefb34bbf9739d100d7f62bf,F,19_05_1993,BRANCO,RIO_GRANDE_DO_NORTE,SAO_RAFAEL,RIO_GRANDE_DO_NORTE,NATAL,NEOPOLIS,GRADUACAO,SISU,2015,1,T,57576752,92127264,1,1,1,5.6,18,APROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F
163,5e00d1e6f59bcd87426d99fd4204d107,F,11_05_1992,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NAO_INFORMADO,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2015,2,F,57576529,92127264,1,1,1,5.3,0,REPROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F
169,a86a9a867dc425414df96cf763cd375b,F,18_04_1979,BRANCO,RIO_GRANDE_DO_NORTE,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,COHABINAL,GRADUACAO,REOCUPACAO_DE_VAGAS_RESIDUAIS,2016,1,F,57576568,92127264,3,3,3,1,52,REPROVADO,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F
175,0f72067ed35dd81348240f339ef75fa3,F,15_04_1997,NAO_INFORMADO,NAO_INFORMADO,JOAO_CAMARA,RIO_GRANDE_DO_NORTE,JOAO_CAMARA,SAO_JOSE,GRADUACAO,SISU,2016,1,F,57576568,92127264,1,1,1,5.2,8,APROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,T,F,T
180,0de7678ddb2772b5d052364c45fc73fa,F,08_08_1998,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,RIO_GRANDE_DO_NORTE,PARNAMIRIM,EMAUS,GRADUACAO,SISU,2016,1,T,57576572,92127264,1,1,1,6.6,8,APROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F
183,b0367cc573977057e54a192c19db9e01,F,21_09_1995,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PLANALTO,GRADUACAO,SISU,2016,1,T,57576568,92127264,0,0,0,0,0,DESISTENCIA,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F
184,6bb5a5c361124ab7b1b3f8d694b23ebc,F,07_09_1999,BRANCO,RIO_GRANDE_DO_NORTE,CAGUARETAMA,RIO_GRANDE_DO_NORTE,CANGUARETAMA,AREIA_BRANCA,GRADUACAO,SISU,2016,1,T,57576568,92127264,2,2,2,6.7,12,APROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,T,F,T
196,b37ad79d4d3c65cfe3d232b9b462f128,F,11_10_1995,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,EXTREMOZ,CENTRAL_PARQUE_III,GRADUACAO,SISU,2016,1,T,57573944,92127264,1,1,1,6.4,4,APROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,F,F,F
197,4af3ac531ef67d05d30aa90c0d70cbf1,F,15_03_1998,PARDO,RIO_GRANDE_DO_NORTE,TOUROS,RIO_GRANDE_DO_NORTE,TOUROS,CENTRO,GRADUACAO,SISU,2016,1,T,57576568,92127264,3,3,3,5,14,APROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,T,F,T
203,f20199e35adb3eb3397143f91c1f78c9,F,25_04_1994,PARDO,RIO_GRANDE_DO_NORTE,JOAO_CAMARA,RIO_GRANDE_DO_NORTE,JOAO_CAMARA,CENTRO,GRADUACAO,SISU,2016,1,T,57576568,92127264,1,1,1,6.6,18,APROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,T,F,T
209,6e18f76992457c4d8c48bad107106031,F,02_07_1991,BRANCO,RIO_GRANDE_DO_NORTE,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,PONTA_NEGRA,GRADUACAO,SISU,2016,1,F,57576566,92127264,2,2,2,5,6,APROVADO_POR_NOTA,2016,2016,NULL,TODO_EM_ESCOLA_PARTICULAR_,F,F,F,F
226,2ebbaa51b82874c8773f3da6ab13bc2b,F,08_04_1996,PARDO,NAO_INFORMADO,JOAO_CAMARA,RIO_GRANDE_DO_NORTE,JOAO_CAMARA,IPE,GRADUACAO,SISU,2016,1,T,57576566,92127264,1,1,1,3.1,8,REPROVADO,2016,2016,NULL,TODO_EM_ESCOLA_PUBLICA_,F,T,F,T
228,3887789313d1186838e6435e22f790c0,F,11_09_1998,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,SAO_JOSE_DE_MIPIBU,RIO_GRANDE_DO_NORTE,SAO_JOSE_DE_MIPIBU,CENTRO,GRADUACAO,SISU,2016,1,F,57576566,92127264,1,1,1,1.2,24,REPROVADO,2016,2016,NULL,PARTE_EM_ESCOLA_PUBLICA_PARTE_EM_ESCOLA_PARTICULAR_,F,T,F,T
