,id_turma,discente,id_curso,unidade,nota,reposicao,media_final,numero_total_faltas,descricao
4917,1233687,00bd67a601192f51da746e41e60815c7,92127264.0,0,0,0,0,0,TRANCADO
5121,1233668,75ceafca049fd070170231fee1413d58,92127264.0,1.0,8.0,f,7.6,0.0,APROVADO
5122,1233668,75ceafca049fd070170231fee1413d58,92127264.0,2.0,7.9,f,7.6,0.0,APROVADO
5123,1233668,75ceafca049fd070170231fee1413d58,92127264.0,3.0,6.9,f,7.6,0.0,APROVADO
5140,1233668,9fab264022905965335b7bc3964f7ed1,92127264.0,1.0,8.2,f,8.0,0.0,APROVADO
5141,1233668,9fab264022905965335b7bc3964f7ed1,92127264.0,2.0,7.8,f,8.0,0.0,APROVADO
5142,1233668,9fab264022905965335b7bc3964f7ed1,92127264.0,3.0,7.9,f,8.0,0.0,APROVADO
10378,1230134,8336cceaf3e6275f4bd0611280702f1e,92127264.0,1.0,9.3,f,9.4,3.0,APROVADO
10379,1230134,8336cceaf3e6275f4bd0611280702f1e,92127264.0,2.0,9.5,f,9.4,3.0,APROVADO
10380,1230134,8336cceaf3e6275f4bd0611280702f1e,92127264.0,3.0,9.5,f,9.4,3.0,APROVADO
18946,1236796,7dd1c07f788951271820d1cb7b1b5bf7,92127264.0,2.0,6.4,f,6.8,0.0,APROVADO POR NOTA
18947,1236796,7dd1c07f788951271820d1cb7b1b5bf7,92127264.0,1.0,7.2,f,6.8,0.0,APROVADO POR NOTA
18948,1236796,cdd880f91102e2225425f0f997f824ea,92127264.0,1.0,0.0,f,1.1,0.0,REPROVADO
18949,1236796,cdd880f91102e2225425f0f997f824ea,92127264.0,2.0,2.2,f,1.1,0.0,REPROVADO
18950,1236796,32daafffbc274ee74e2c8ea9f9b792a6,92127264.0,1.0,1.5,f,1.8,0.0,REPROVADO
18951,1236796,32daafffbc274ee74e2c8ea9f9b792a6,92127264.0,2.0,2.0,f,1.8,0.0,REPROVADO
18952,1236796,69ad026fcf027c449e2f6b8f57865316,92127264.0,1.0,8.1,f,8.6,0.0,APROVADO
18953,1236796,69ad026fcf027c449e2f6b8f57865316,92127264.0,2.0,9.1,f,8.6,0.0,APROVADO
18954,1236796,29842efca9aab36a080af357242530e1,92127264.0,1.0,5.7,f,6.2,0.0,APROVADO POR NOTA
18955,1236796,29842efca9aab36a080af357242530e1,92127264.0,2.0,6.7,f,6.2,0.0,APROVADO POR NOTA
18956,1236796,aeb853ba3fbf72a9ceca3f5157e3fcf3,92127264.0,1.0,7.7,f,7.2,0.0,APROVADO
18957,1236796,aeb853ba3fbf72a9ceca3f5157e3fcf3,92127264.0,2.0,6.7,f,7.2,0.0,APROVADO
25777,1228382,2f5560ff10781f6252954308b37465b6,92127264.0,3.0,6.0,f,5.8,8.0,APROVADO POR NOTA
25778,1228382,2f5560ff10781f6252954308b37465b6,92127264.0,1.0,8.3,f,5.8,8.0,APROVADO POR NOTA
25779,1228382,2f5560ff10781f6252954308b37465b6,92127264.0,2.0,3.0,f,5.8,8.0,APROVADO POR NOTA
25781,1228382,a16ed96ee765c2ec436358814f6bc646,92127264.0,1.0,4.0,f,2.0,18.0,REPROVADO
25782,1228382,a16ed96ee765c2ec436358814f6bc646,92127264.0,2.0,1.0,f,2.0,18.0,REPROVADO
25783,1228382,a16ed96ee765c2ec436358814f6bc646,92127264.0,3.0,1.0,f,2.0,18.0,REPROVADO
25794,1228382,7654b9422f2d9d22dd627991a237eb39,92127264.0,1.0,4.9,f,2.6,24.0,REPROVADO
25795,1228382,7654b9422f2d9d22dd627991a237eb39,92127264.0,2.0,3.0,f,2.6,24.0,REPROVADO
25796,1228382,7654b9422f2d9d22dd627991a237eb39,92127264.0,3.0,0.0,f,2.6,24.0,REPROVADO
25798,1228382,af411d3564d0980b1ceb2c8b60e808a2,92127264.0,1.0,3.5,f,3.5,24.0,REPROVADO
25799,1228382,af411d3564d0980b1ceb2c8b60e808a2,92127264.0,2.0,4.0,f,3.5,24.0,REPROVADO
25800,1228382,af411d3564d0980b1ceb2c8b60e808a2,92127264.0,3.0,3.0,f,3.5,24.0,REPROVADO
30450,1228367,d624069cd2691821d497421eae79b0bc,92127264.0,1.0,7.0,f,6.3,17.0,APROVADO POR NOTA
30451,1228367,d624069cd2691821d497421eae79b0bc,92127264.0,2.0,8.0,f,6.3,17.0,APROVADO POR NOTA
30452,1228367,d624069cd2691821d497421eae79b0bc,92127264.0,3.0,2.5,t,6.3,17.0,APROVADO POR NOTA
30454,1228367,956a3fa7d7abffd3d40d84c767ccfa00,92127264.0,0,0,0,0,0,DESISTENCIA
30462,1228367,7a1b1853a420d06922811b998fb6264f,92127264.0,1.0,5.0,f,6.8,6.0,APROVADO POR NOTA
30463,1228367,7a1b1853a420d06922811b998fb6264f,92127264.0,2.0,9.5,f,6.8,6.0,APROVADO POR NOTA
30464,1228367,7a1b1853a420d06922811b998fb6264f,92127264.0,3.0,6.0,f,6.8,6.0,APROVADO POR NOTA
30465,1228367,677491eaf0e78c5d7d3272d90da5ead4,92127264.0,1.0,6.0,f,7.2,8.0,APROVADO
30466,1228367,677491eaf0e78c5d7d3272d90da5ead4,92127264.0,2.0,7.5,f,7.2,8.0,APROVADO
30467,1228367,677491eaf0e78c5d7d3272d90da5ead4,92127264.0,3.0,8.0,f,7.2,8.0,APROVADO
30468,1228367,9f2893d97c3dc2cf63f5501959e73bed,92127264.0,1.0,6.0,f,6.3,14.0,APROVADO POR NOTA
