,id_turma,discente,id_curso,unidade,nota,reposicao,media_final,numero_total_faltas,descricao
515,57590951,da437177e090ab90ea33ba772cfbae03,92127264.0,0,0,0,0,0,TRANCADO
2850,57586844,9d8dcee687180154493648b599a313c3,92127264.0,1.0,7.099999900000001,f,5.0,2.0,APROVADO POR NOTA
2851,57586844,9d8dcee687180154493648b599a313c3,92127264.0,3.0,4.80000019,f,5.0,2.0,APROVADO POR NOTA
2852,57586844,9d8dcee687180154493648b599a313c3,92127264.0,2.0,3.0,f,5.0,2.0,APROVADO POR NOTA
2853,57586844,55ed6d9cd251dbbad524455cdcf243aa,92127264.0,1.0,10.0,f,10.0,2.0,APROVADO
2854,57586844,55ed6d9cd251dbbad524455cdcf243aa,92127264.0,2.0,10.0,f,10.0,2.0,APROVADO
2855,57586844,55ed6d9cd251dbbad524455cdcf243aa,92127264.0,3.0,10.0,f,10.0,2.0,APROVADO
2856,57586844,fd6dc7aa91317652835ab7557a5e09ea,92127264.0,1.0,5.69999981,f,5.0,4.0,APROVADO POR NOTA
2857,57586844,fd6dc7aa91317652835ab7557a5e09ea,92127264.0,2.0,3.0,f,5.0,4.0,APROVADO POR NOTA
2858,57586844,fd6dc7aa91317652835ab7557a5e09ea,92127264.0,3.0,6.19999981,f,5.0,4.0,APROVADO POR NOTA
2859,57586844,b3283cf1566a1094825467aa9a5411b7,92127264.0,1.0,8.10000038,f,5.0,0.0,APROVADO POR NOTA
2860,57586844,b3283cf1566a1094825467aa9a5411b7,92127264.0,2.0,3.0,f,5.0,0.0,APROVADO POR NOTA
2861,57586844,b3283cf1566a1094825467aa9a5411b7,92127264.0,3.0,3.79999995,f,5.0,0.0,APROVADO POR NOTA
2862,57586844,1cf471ff89fa2e38a2400f5c1afdfb9b,92127264.0,2.0,3.0,f,5.0,0.0,APROVADO POR NOTA
2863,57586844,1cf471ff89fa2e38a2400f5c1afdfb9b,92127264.0,1.0,8.10000038,f,5.0,0.0,APROVADO POR NOTA
2864,57586844,1cf471ff89fa2e38a2400f5c1afdfb9b,92127264.0,3.0,3.79999995,f,5.0,0.0,APROVADO POR NOTA
2865,57586844,679c140c591149567fb371703ba24cef,92127264.0,1.0,7.5,f,9.0,0.0,APROVADO
2866,57586844,679c140c591149567fb371703ba24cef,92127264.0,2.0,9.5,f,9.0,0.0,APROVADO
2867,57586844,679c140c591149567fb371703ba24cef,92127264.0,3.0,10.0,f,9.0,0.0,APROVADO
2868,57586844,9e1a702aae6242a8b9ac18d54aa19e24,92127264.0,3.0,10.0,f,9.2,4.0,APROVADO
2869,57586844,9e1a702aae6242a8b9ac18d54aa19e24,92127264.0,1.0,7.599999900000001,f,9.2,4.0,APROVADO
2870,57586844,9e1a702aae6242a8b9ac18d54aa19e24,92127264.0,2.0,10.0,f,9.2,4.0,APROVADO
2874,57586844,21f431743a2e10ec0179a8f172a682a2,92127264.0,1.0,10.0,f,10.0,0.0,APROVADO
2875,57586844,21f431743a2e10ec0179a8f172a682a2,92127264.0,3.0,10.0,f,10.0,0.0,APROVADO
2876,57586844,21f431743a2e10ec0179a8f172a682a2,92127264.0,2.0,10.0,f,10.0,0.0,APROVADO
2877,57586844,b41962dbdf2c399278387568c820ac90,92127264.0,1.0,10.0,f,10.0,0.0,APROVADO
2878,57586844,b41962dbdf2c399278387568c820ac90,92127264.0,2.0,10.0,f,10.0,0.0,APROVADO
2879,57586844,b41962dbdf2c399278387568c820ac90,92127264.0,3.0,10.0,f,10.0,0.0,APROVADO
2880,57586844,a682f2beb315b67438ce66dcadd140e8,92127264.0,1.0,9.69999981,f,9.7,2.0,APROVADO
2881,57586844,a682f2beb315b67438ce66dcadd140e8,92127264.0,2.0,9.5,f,9.7,2.0,APROVADO
2882,57586844,a682f2beb315b67438ce66dcadd140e8,92127264.0,3.0,10.0,f,9.7,2.0,APROVADO
2883,57586844,e6cdfc6ba7edb9e72e88b259112088c6,92127264.0,1.0,10.0,f,10.0,0.0,APROVADO
2884,57586844,e6cdfc6ba7edb9e72e88b259112088c6,92127264.0,2.0,10.0,f,10.0,0.0,APROVADO
2885,57586844,e6cdfc6ba7edb9e72e88b259112088c6,92127264.0,3.0,10.0,f,10.0,0.0,APROVADO
2886,57586844,9c8c21e07fb93342e39e3564779181cb,92127264.0,1.0,9.0,f,9.7,0.0,APROVADO
2887,57586844,9c8c21e07fb93342e39e3564779181cb,92127264.0,2.0,10.0,f,9.7,0.0,APROVADO
2888,57586844,9c8c21e07fb93342e39e3564779181cb,92127264.0,3.0,10.0,f,9.7,0.0,APROVADO
2889,57586844,c62cb04038e4dc1c8c4289869343a181,92127264.0,0,0,0,0,0,TRANCADO
2890,57586844,fd67ce939432d220dc3ab6030c9b349f,92127264.0,1.0,7.80000019,f,6.9,0.0,APROVADO POR NOTA
2891,57586844,fd67ce939432d220dc3ab6030c9b349f,92127264.0,2.0,8.0,f,6.9,0.0,APROVADO POR NOTA
2892,57586844,fd67ce939432d220dc3ab6030c9b349f,92127264.0,3.0,5.0,f,6.9,0.0,APROVADO POR NOTA
2893,57586844,a86542bd8fc9e6e665e4897c20b8ff95,92127264.0,1.0,7.80000019,f,6.9,2.0,APROVADO POR NOTA
2894,57586844,a86542bd8fc9e6e665e4897c20b8ff95,92127264.0,2.0,8.0,f,6.9,2.0,APROVADO POR NOTA
2895,57586844,a86542bd8fc9e6e665e4897c20b8ff95,92127264.0,3.0,5.0,f,6.9,2.0,APROVADO POR NOTA
2897,57586844,dc0b37a9d90ff2d54cb650d366bb9d1e,92127264.0,1.0,2.20000005,f,0.7,4.0,REPROVADO
2898,57586844,dc0b37a9d90ff2d54cb650d366bb9d1e,92127264.0,2.0,0.0,f,0.7,4.0,REPROVADO
2899,57586844,dc0b37a9d90ff2d54cb650d366bb9d1e,92127264.0,3.0,0.0,f,0.7,4.0,REPROVADO
6720,57586351,9442e29605d14cf9859069926ce70e2e,92127264.0,2.0,3.5,f,5.8,0.0,APROVADO POR NOTA
6721,57586351,9442e29605d14cf9859069926ce70e2e,92127264.0,3.0,3.29999995,t,5.8,0.0,APROVADO POR NOTA
6722,57586351,9442e29605d14cf9859069926ce70e2e,92127264.0,1.0,7.0,f,5.8,0.0,APROVADO POR NOTA
6723,57586351,617c2e34e148a00577d0efeda6edd8ec,92127264.0,3.0,7.0,f,6.2,0.0,APROVADO POR NOTA
