,id_turma,discente,id_curso,unidade,nota,reposicao,media_final,numero_total_faltas,descricao
3720,57569178,cdf99402c72f8d20aa224ef307623751,92127264.0,1.0,10.0,f,9.7,0.0,APROVADO
3721,57569178,cdf99402c72f8d20aa224ef307623751,92127264.0,2.0,9.0,f,9.7,0.0,APROVADO
3722,57569178,cdf99402c72f8d20aa224ef307623751,92127264.0,3.0,10.0,f,9.7,0.0,APROVADO
7925,57563080,3a93cf9223126865d5c1f2a987452e56,92127264.0,1.0,8.69999981,f,8.2,0.0,APROVADO
7926,57563080,3a93cf9223126865d5c1f2a987452e56,92127264.0,2.0,8.0,f,8.2,0.0,APROVADO
7927,57563080,3a93cf9223126865d5c1f2a987452e56,92127264.0,3.0,8.0,f,8.2,0.0,APROVADO
12716,57565371,201555ff0d96bcb4448d2885669d8c3a,92127264.0,1.0,0.0,f,0.0,52.0,REPROVADO POR MÉDIA E POR FALTAS
12717,57565371,201555ff0d96bcb4448d2885669d8c3a,92127264.0,2.0,0.0,f,0.0,52.0,REPROVADO POR MÉDIA E POR FALTAS
12718,57565371,201555ff0d96bcb4448d2885669d8c3a,92127264.0,3.0,0.0,f,0.0,52.0,REPROVADO POR MÉDIA E POR FALTAS
20708,57566724,9fab264022905965335b7bc3964f7ed1,92127264.0,1.0,9.0,f,8.3,0.0,APROVADO
20709,57566724,9fab264022905965335b7bc3964f7ed1,92127264.0,2.0,6.0999999,f,8.3,0.0,APROVADO
20710,57566724,9fab264022905965335b7bc3964f7ed1,92127264.0,3.0,9.89999962,f,8.3,0.0,APROVADO
20714,57566724,63e97bc77196994b439cb853cea9d42d,92127264.0,1.0,6.30000019,f,5.5,0.0,APROVADO POR NOTA
20715,57566724,63e97bc77196994b439cb853cea9d42d,92127264.0,2.0,5.9000001,f,5.5,0.0,APROVADO POR NOTA
20716,57566724,63e97bc77196994b439cb853cea9d42d,92127264.0,3.0,4.30000019,f,5.5,0.0,APROVADO POR NOTA
20717,57566724,bf826f6b7f8f02ec7913a727a55e9cbc,92127264.0,1.0,8.19999981,f,8.3,0.0,APROVADO
20718,57566724,bf826f6b7f8f02ec7913a727a55e9cbc,92127264.0,2.0,6.900000099999999,f,8.3,0.0,APROVADO
20719,57566724,bf826f6b7f8f02ec7913a727a55e9cbc,92127264.0,3.0,9.69999981,f,8.3,0.0,APROVADO
20726,57566724,25d2bd21cd76c59793f8a006c03cf6b9,92127264.0,1.0,6.599999900000001,f,6.0,0.0,APROVADO POR NOTA
20727,57566724,25d2bd21cd76c59793f8a006c03cf6b9,92127264.0,2.0,3.9000001,f,6.0,0.0,APROVADO POR NOTA
20728,57566724,25d2bd21cd76c59793f8a006c03cf6b9,92127264.0,3.0,7.599999900000001,f,6.0,0.0,APROVADO POR NOTA
20729,57566724,cb75f724561edc0a0a2be38dfe95322c,92127264.0,1.0,8.69999981,f,8.3,0.0,APROVADO
20730,57566724,cb75f724561edc0a0a2be38dfe95322c,92127264.0,2.0,6.30000019,f,8.3,0.0,APROVADO
20731,57566724,cb75f724561edc0a0a2be38dfe95322c,92127264.0,3.0,9.89999962,f,8.3,0.0,APROVADO
20732,57566724,d624069cd2691821d497421eae79b0bc,92127264.0,1.0,4.0,f,6.7,0.0,APROVADO POR NOTA
20733,57566724,d624069cd2691821d497421eae79b0bc,92127264.0,2.0,6.30000019,f,6.7,0.0,APROVADO POR NOTA
20734,57566724,d624069cd2691821d497421eae79b0bc,92127264.0,3.0,9.80000019,f,6.7,0.0,APROVADO POR NOTA
20735,57566724,55ed6d9cd251dbbad524455cdcf243aa,92127264.0,0,0,0,0,0,DESISTENCIA
20736,57566724,8b82771529bee06587d1941f7a41c0c1,92127264.0,1.0,0.0,f,0.0,0.0,REPROVADO
20737,57566724,8b82771529bee06587d1941f7a41c0c1,92127264.0,2.0,0.0,f,0.0,0.0,REPROVADO
20738,57566724,8b82771529bee06587d1941f7a41c0c1,92127264.0,3.0,0.0,f,0.0,0.0,REPROVADO
21370,57566730,a682f2beb315b67438ce66dcadd140e8,92127264.0,1.0,7.0,f,7.0,0.0,APROVADO
21371,57566730,a682f2beb315b67438ce66dcadd140e8,92127264.0,2.0,7.0,f,7.0,0.0,APROVADO
21372,57566730,a682f2beb315b67438ce66dcadd140e8,92127264.0,3.0,7.0,f,7.0,0.0,APROVADO
21379,57566730,fdf1f636486a3ad1d7bd6cc303c6c32a,92127264.0,1.0,10.0,f,10.0,0.0,APROVADO
21380,57566730,fdf1f636486a3ad1d7bd6cc303c6c32a,92127264.0,2.0,10.0,f,10.0,0.0,APROVADO
21381,57566730,fdf1f636486a3ad1d7bd6cc303c6c32a,92127264.0,3.0,10.0,f,10.0,0.0,APROVADO
21386,57566730,f111a05877915e0c15509d555f34195c,92127264.0,0,0,0,0,0,TRANCADO
21387,57566730,fd67ce939432d220dc3ab6030c9b349f,92127264.0,2.0,8.5,f,7.7,0.0,APROVADO
21388,57566730,fd67ce939432d220dc3ab6030c9b349f,92127264.0,3.0,7.0,f,7.7,0.0,APROVADO
21389,57566730,fd67ce939432d220dc3ab6030c9b349f,92127264.0,1.0,7.5,f,7.7,0.0,APROVADO
21840,57564811,25d5eca724a3eca9a55b0a9ac7bfb373,92127264.0,1.0,8.5,f,2.9,8.0,REPROVADO
21841,57564811,25d5eca724a3eca9a55b0a9ac7bfb373,92127264.0,2.0,0.200000003,f,2.9,8.0,REPROVADO
21842,57564811,25d5eca724a3eca9a55b0a9ac7bfb373,92127264.0,3.0,0.0,f,2.9,8.0,REPROVADO
21843,57564811,bb92d6e13b9adaeac2f01cc81b87814b,92127264.0,1.0,4.9000001,f,1.7,6.0,REPROVADO
21844,57564811,bb92d6e13b9adaeac2f01cc81b87814b,92127264.0,2.0,0.10000000099999999,f,1.7,6.0,REPROVADO
21845,57564811,bb92d6e13b9adaeac2f01cc81b87814b,92127264.0,3.0,0.0,f,1.7,6.0,REPROVADO
21846,57564811,a4b501c64ae1f789a09e7c2040786fab,92127264.0,1.0,8.60000038,f,7.9,0.0,APROVADO
21847,57564811,a4b501c64ae1f789a09e7c2040786fab,92127264.0,2.0,7.30000019,f,7.9,0.0,APROVADO
21848,57564811,a4b501c64ae1f789a09e7c2040786fab,92127264.0,3.0,7.80000019,f,7.9,0.0,APROVADO
21851,57564811,2727460eeb832023dbf9410f0de31e35,92127264.0,1.0,5.5999999,f,2.0,8.0,REPROVADO
21852,57564811,2727460eeb832023dbf9410f0de31e35,92127264.0,2.0,0.5,f,2.0,8.0,REPROVADO
21853,57564811,2727460eeb832023dbf9410f0de31e35,92127264.0,3.0,0.0,f,2.0,8.0,REPROVADO
21860,57564811,c22b39f1343c183dc05a6e8a027a17bb,92127264.0,1.0,10.0,f,9.6,0.0,APROVADO
21861,57564811,c22b39f1343c183dc05a6e8a027a17bb,92127264.0,2.0,9.19999981,f,9.6,0.0,APROVADO
21862,57564811,c22b39f1343c183dc05a6e8a027a17bb,92127264.0,3.0,9.60000038,f,9.6,0.0,APROVADO
21863,57564811,0051970b8e57f667afa4ad2789426fa9,92127264.0,1.0,10.0,f,9.8,0.0,APROVADO
21864,57564811,0051970b8e57f667afa4ad2789426fa9,92127264.0,2.0,10.0,f,9.8,0.0,APROVADO
21865,57564811,0051970b8e57f667afa4ad2789426fa9,92127264.0,3.0,9.5,f,9.8,0.0,APROVADO
21866,57564811,a2410084172411a8d725d347c9e26f2d,92127264.0,1.0,10.0,f,7.8,0.0,APROVADO
21867,57564811,a2410084172411a8d725d347c9e26f2d,92127264.0,2.0,5.80000019,f,7.8,0.0,APROVADO
21868,57564811,a2410084172411a8d725d347c9e26f2d,92127264.0,3.0,7.5,f,7.8,0.0,APROVADO
21869,57564811,29b63d2c7c4c63ea63fb33e362c47598,92127264.0,1.0,3.29999995,f,1.1,6.0,REPROVADO
21870,57564811,29b63d2c7c4c63ea63fb33e362c47598,92127264.0,2.0,0.10000000099999999,f,1.1,6.0,REPROVADO
21871,57564811,29b63d2c7c4c63ea63fb33e362c47598,92127264.0,3.0,0.0,f,1.1,6.0,REPROVADO
21872,57564811,cdb1ed591022eb45f637a33d234bd883,92127264.0,1.0,8.5,f,7.7,0.0,APROVADO
21873,57564811,cdb1ed591022eb45f637a33d234bd883,92127264.0,2.0,7.400000099999999,f,7.7,0.0,APROVADO
21874,57564811,cdb1ed591022eb45f637a33d234bd883,92127264.0,3.0,7.099999900000001,f,7.7,0.0,APROVADO
21878,57564811,3347b21ea109ce6e93fd275add4a0a0e,92127264.0,1.0,9.60000038,f,5.8,0.0,APROVADO POR NOTA
21879,57564811,3347b21ea109ce6e93fd275add4a0a0e,92127264.0,2.0,4.099999899999999,f,5.8,0.0,APROVADO POR NOTA
21880,57564811,3347b21ea109ce6e93fd275add4a0a0e,92127264.0,3.0,3.79999995,f,5.8,0.0,APROVADO POR NOTA
21882,57564811,c62cb04038e4dc1c8c4289869343a181,92127264.0,1.0,8.60000038,f,7.1,0.0,APROVADO
21883,57564811,c62cb04038e4dc1c8c4289869343a181,92127264.0,2.0,4.5999999,f,7.1,0.0,APROVADO
21884,57564811,c62cb04038e4dc1c8c4289869343a181,92127264.0,3.0,8.0,f,7.1,0.0,APROVADO
21885,57564811,8a8878d0e0f3adde0d8da2b9491942a8,92127264.0,1.0,6.19999981,f,2.1,10.0,REPROVADO
21886,57564811,8a8878d0e0f3adde0d8da2b9491942a8,92127264.0,2.0,0.0,f,2.1,10.0,REPROVADO
21887,57564811,8a8878d0e0f3adde0d8da2b9491942a8,92127264.0,3.0,0.0,f,2.1,10.0,REPROVADO
21888,57564811,1235a9301fcee8edf5d74e0f0f2df292,92127264.0,2.0,2.29999995,f,3.4,2.0,REPROVADO
21889,57564811,1235a9301fcee8edf5d74e0f0f2df292,92127264.0,1.0,4.0,f,3.4,2.0,REPROVADO
21890,57564811,1235a9301fcee8edf5d74e0f0f2df292,92127264.0,3.0,3.79999995,f,3.4,2.0,REPROVADO
21896,57564811,c6d39544bf76588ec9300d4546fdc16c,92127264.0,1.0,5.4000001,f,1.8,22.0,REPROVADO POR MÉDIA E POR FALTAS
21897,57564811,c6d39544bf76588ec9300d4546fdc16c,92127264.0,2.0,0.10000000099999999,f,1.8,22.0,REPROVADO POR MÉDIA E POR FALTAS
21898,57564811,c6d39544bf76588ec9300d4546fdc16c,92127264.0,3.0,0.0,f,1.8,22.0,REPROVADO POR MÉDIA E POR FALTAS
