,id_turma,discente,id_curso,unidade,nota,reposicao,media_final,numero_total_faltas,descricao
4962,1239422,9a6063976e50a8fa09edeb69afb09ef4,92127264.0,2.0,7.599999900000001,f,7.9,2.0,APROVADO
4963,1239422,9a6063976e50a8fa09edeb69afb09ef4,92127264.0,1.0,8.39999962,f,7.9,2.0,APROVADO
4964,1239422,9a6063976e50a8fa09edeb69afb09ef4,92127264.0,3.0,7.599999900000001,f,7.9,2.0,APROVADO
4993,1239422,ee67c654a285629b1e24292c717dc9e5,92127264.0,1.0,6.599999900000001,f,7.2,7.0,APROVADO
4994,1239422,ee67c654a285629b1e24292c717dc9e5,92127264.0,2.0,5.69999981,f,7.2,7.0,APROVADO
4995,1239422,ee67c654a285629b1e24292c717dc9e5,92127264.0,3.0,9.30000019,f,7.2,7.0,APROVADO
4997,1239422,ca045d46c152b54c2cfe110d01d3e8ce,92127264.0,3.0,7.599999900000001,f,7.9,2.0,APROVADO
4998,1239422,ca045d46c152b54c2cfe110d01d3e8ce,92127264.0,1.0,8.39999962,f,7.9,2.0,APROVADO
4999,1239422,ca045d46c152b54c2cfe110d01d3e8ce,92127264.0,2.0,7.80000019,f,7.9,2.0,APROVADO
5000,1239422,5dac5cab88de4928bbc3095150f768ff,92127264.0,1.0,4.19999981,f,4.4,14.0,REPROVADO
5001,1239422,5dac5cab88de4928bbc3095150f768ff,92127264.0,2.0,4.4000001,f,4.4,14.0,REPROVADO
5002,1239422,5dac5cab88de4928bbc3095150f768ff,92127264.0,3.0,4.5,f,4.4,14.0,REPROVADO
12836,1242743,8f1e25c53680d4d2ecfd4d6be7f4f4f0,92127264.0,1.0,4.5,f,2.2,8.0,REPROVADO
12837,1242743,8f1e25c53680d4d2ecfd4d6be7f4f4f0,92127264.0,2.0,2.0999999,f,2.2,8.0,REPROVADO
12838,1242743,8f1e25c53680d4d2ecfd4d6be7f4f4f0,92127264.0,3.0,0.0,f,2.2,8.0,REPROVADO
12903,1239874,00d23d8801e80f5326f9409bc1edee9b,92127264.0,1.0,9.80000019,f,8.4,4.0,APROVADO
12904,1239874,00d23d8801e80f5326f9409bc1edee9b,92127264.0,2.0,7.400000099999999,f,8.4,4.0,APROVADO
12905,1239874,00d23d8801e80f5326f9409bc1edee9b,92127264.0,3.0,8.10000038,f,8.4,4.0,APROVADO
12906,1239874,f28e052d0580964522fc2df687450a3d,92127264.0,1.0,9.80000019,f,9.9,0.0,APROVADO
12907,1239874,f28e052d0580964522fc2df687450a3d,92127264.0,2.0,10.0,f,9.9,0.0,APROVADO
12908,1239874,f28e052d0580964522fc2df687450a3d,92127264.0,3.0,9.89999962,f,9.9,0.0,APROVADO
12909,1239874,4f6604e9e784dfcc5d63db809178681e,92127264.0,1.0,10.0,f,8.4,4.0,APROVADO
12910,1239874,4f6604e9e784dfcc5d63db809178681e,92127264.0,2.0,8.19999981,f,8.4,4.0,APROVADO
12911,1239874,4f6604e9e784dfcc5d63db809178681e,92127264.0,3.0,7.099999900000001,f,8.4,4.0,APROVADO
12912,1239874,8f1e25c53680d4d2ecfd4d6be7f4f4f0,92127264.0,1.0,9.80000019,f,9.5,14.0,APROVADO
12913,1239874,8f1e25c53680d4d2ecfd4d6be7f4f4f0,92127264.0,2.0,10.0,f,9.5,14.0,APROVADO
12914,1239874,8f1e25c53680d4d2ecfd4d6be7f4f4f0,92127264.0,3.0,8.60000038,f,9.5,14.0,APROVADO
12915,1239874,2b366f50d21194c4a826929a4e10ef35,92127264.0,1.0,10.0,f,9.8,18.0,APROVADO
12916,1239874,2b366f50d21194c4a826929a4e10ef35,92127264.0,2.0,9.60000038,f,9.8,18.0,APROVADO
12917,1239874,2b366f50d21194c4a826929a4e10ef35,92127264.0,3.0,9.89999962,f,9.8,18.0,APROVADO
