,id_turma,discente,id_curso,unidade,nota,reposicao,media_final,numero_total_faltas,descricao
51,57579349,fdf1f636486a3ad1d7bd6cc303c6c32a,92127264.0,2.0,10.0,f,10.0,0.0,APROVADO
52,57579349,fdf1f636486a3ad1d7bd6cc303c6c32a,92127264.0,3.0,10.0,f,10.0,0.0,APROVADO
53,57579349,fdf1f636486a3ad1d7bd6cc303c6c32a,92127264.0,1.0,10.0,f,10.0,0.0,APROVADO
57,57579349,00bd67a601192f51da746e41e60815c7,92127264.0,1.0,9.0,f,8.3,16.0,APROVADO
58,57579349,00bd67a601192f51da746e41e60815c7,92127264.0,2.0,8.69999981,f,8.3,16.0,APROVADO
59,57579349,00bd67a601192f51da746e41e60815c7,92127264.0,3.0,7.30000019,f,8.3,16.0,APROVADO
63,57579349,c6e6b75a1e8fb3912dc281802313a782,92127264.0,1.0,9.80000019,f,8.7,6.0,APROVADO
64,57579349,c6e6b75a1e8fb3912dc281802313a782,92127264.0,2.0,7.69999981,f,8.7,6.0,APROVADO
65,57579349,c6e6b75a1e8fb3912dc281802313a782,92127264.0,3.0,8.5,f,8.7,6.0,APROVADO
69,57579349,8d2a3b00a41279debf258bc6c6305205,92127264.0,1.0,10.0,f,8.5,0.0,APROVADO
70,57579349,8d2a3b00a41279debf258bc6c6305205,92127264.0,2.0,7.099999900000001,f,8.5,0.0,APROVADO
71,57579349,8d2a3b00a41279debf258bc6c6305205,92127264.0,3.0,8.30000019,f,8.5,0.0,APROVADO
1526,57575227,bc2bc7b8d6d7550aeaf952fd146e716e,92127264.0,1.0,9.0,f,7.0,12.0,APROVADO
1527,57575227,bc2bc7b8d6d7550aeaf952fd146e716e,92127264.0,2.0,5.0,f,7.0,12.0,APROVADO
1528,57575227,bc2bc7b8d6d7550aeaf952fd146e716e,92127264.0,3.0,7.0,f,7.0,12.0,APROVADO
2288,57573675,30327d430572d0c720dcd1682a39c361,92127264.0,1.0,8.19999981,f,7.3,14.0,APROVADO
2289,57573675,30327d430572d0c720dcd1682a39c361,92127264.0,2.0,7.80000019,f,7.3,14.0,APROVADO
2290,57573675,30327d430572d0c720dcd1682a39c361,92127264.0,3.0,5.80000019,f,7.3,14.0,APROVADO
2297,57573675,7f526a2061ee189867da31102097f91e,92127264.0,1.0,6.0,f,8.6,6.0,APROVADO
2298,57573675,7f526a2061ee189867da31102097f91e,92127264.0,2.0,9.80000019,f,8.6,6.0,APROVADO
2299,57573675,7f526a2061ee189867da31102097f91e,92127264.0,3.0,10.0,f,8.6,6.0,APROVADO
2300,57573675,3797d070ee3c0d06f8ca9e32d970dc0e,92127264.0,1.0,9.5,f,8.9,14.0,APROVADO
2301,57573675,3797d070ee3c0d06f8ca9e32d970dc0e,92127264.0,3.0,7.30000019,f,8.9,14.0,APROVADO
2302,57573675,3797d070ee3c0d06f8ca9e32d970dc0e,92127264.0,2.0,10.0,f,8.9,14.0,APROVADO
2303,57573675,5a5d94d46b85d1bec85b6a0b0a0b826b,92127264.0,3.0,4.0,f,7.3,12.0,APROVADO
2304,57573675,5a5d94d46b85d1bec85b6a0b0a0b826b,92127264.0,2.0,9.60000038,f,7.3,12.0,APROVADO
2305,57573675,5a5d94d46b85d1bec85b6a0b0a0b826b,92127264.0,1.0,8.19999981,f,7.3,12.0,APROVADO
2309,57573675,2b366f50d21194c4a826929a4e10ef35,92127264.0,0,0,0,0,0,TRANCADO
2347,57573675,cb75f724561edc0a0a2be38dfe95322c,92127264.0,2.0,9.19999981,f,7.7,18.0,APROVADO
2348,57573675,cb75f724561edc0a0a2be38dfe95322c,92127264.0,1.0,0.0,t,7.7,18.0,APROVADO
2349,57573675,cb75f724561edc0a0a2be38dfe95322c,92127264.0,3.0,6.5,f,7.7,18.0,APROVADO
2350,57573675,263337877cb5bbfb246858ae2ca2108e,92127264.0,2.0,8.0,f,7.7,4.0,APROVADO
2351,57573675,263337877cb5bbfb246858ae2ca2108e,92127264.0,3.0,5.0,f,7.7,4.0,APROVADO
2352,57573675,263337877cb5bbfb246858ae2ca2108e,92127264.0,1.0,0.0,t,7.7,4.0,APROVADO
2353,57573675,a9d5358e13241d1fc953196fa2983412,92127264.0,1.0,6.69999981,f,8.7,10.0,APROVADO
