,id_turma,discente,id_curso,unidade,nota,reposicao,media_final,numero_total_faltas,descricao
7041,1217927,35e2507cc2ed396f7078879369b27286,92127264.0,1.0,6.5,f,7.1,2.0,APROVADO
7042,1217927,35e2507cc2ed396f7078879369b27286,92127264.0,2.0,7.7,f,7.1,2.0,APROVADO
7043,1217927,7b0c9e446d13b6a8b66a1371984b673b,92127264.0,1.0,8.0,f,8.1,2.0,APROVADO
7044,1217927,7b0c9e446d13b6a8b66a1371984b673b,92127264.0,2.0,8.1,f,8.1,2.0,APROVADO
7046,1217927,a16ed96ee765c2ec436358814f6bc646,92127264.0,1.0,6.3,f,7.2,2.0,APROVADO
7047,1217927,a16ed96ee765c2ec436358814f6bc646,92127264.0,2.0,8.0,f,7.2,2.0,APROVADO
7048,1217927,8336cceaf3e6275f4bd0611280702f1e,92127264.0,1.0,8.4,f,8.6,2.0,APROVADO
7049,1217927,8336cceaf3e6275f4bd0611280702f1e,92127264.0,2.0,8.8,f,8.6,2.0,APROVADO
7050,1217927,9d8dcee687180154493648b599a313c3,92127264.0,1.0,4.5,f,6.1,0.0,APROVADO POR NOTA
7051,1217927,9d8dcee687180154493648b599a313c3,92127264.0,2.0,7.7,f,6.1,0.0,APROVADO POR NOTA
7054,1217927,46665a614e41672cc0e7ab15d2acacf1,92127264.0,1.0,8.5,f,7.8,2.0,APROVADO
7055,1217927,46665a614e41672cc0e7ab15d2acacf1,92127264.0,2.0,7.1,f,7.8,2.0,APROVADO
7059,1217927,bcd15dd5fc86b676ddf53d2e332224bb,92127264.0,1.0,7.7,f,7.2,4.0,APROVADO
7060,1217927,bcd15dd5fc86b676ddf53d2e332224bb,92127264.0,2.0,6.6,f,7.2,4.0,APROVADO
7064,1217927,4303adc9ed9fa65fb5eba1d05503693a,92127264.0,1.0,0.0,f,0.0,36.0,REPROVADO POR MÉDIA E POR FALTAS
7065,1217927,4303adc9ed9fa65fb5eba1d05503693a,92127264.0,2.0,0.0,f,0.0,36.0,REPROVADO POR MÉDIA E POR FALTAS
7079,1217927,d01ee6d4e4283d76b5891bbfd5a3dfee,92127264.0,1.0,5.5,f,5.4,4.0,APROVADO POR NOTA
7080,1217927,d01ee6d4e4283d76b5891bbfd5a3dfee,92127264.0,2.0,5.3,f,5.4,4.0,APROVADO POR NOTA
